Column,char,dialog,movie
73,GIMLI,Well Then Let's Just Have His Head And Be Done With It.,The Return of the King
74,GANDALF,"No, We Need Him Alive. We Need Him To Talk.",The Return of the King
75,SARUMAN,"You Have Fought Many Wars And Slain Many Men Theoden King And Made Peace Afterwards. Can We Not Take Counsel Together As We Once Did, My Old Friend?can We Not Have Peace You And I?",The Return of the King
76,THEODEN,We Shall Have Peace'. We Shall Have Peace When You Answer For The Burning Of The Westfold And The Children That Lie Dead There! We Shall Have Peace When The Lives Of The Soldiers Whose Bodies Were Hewn Even As They Lay Dead Against The Gates Of The Hornburg' Are Avenged! When You Hang From A Gibbet For The Sport Of Your Own Crows' We Shall Have Peace!,The Return of the King
77,SARUMAN,Gibbets And Crows! Dotard! What Do You Want Gandalf Grahame? Let Me Guess' The Key Of Orthanc? Or Perhaps The Keys Of Barad D'r Itself? Along With The Crowns Of The Seven Kings And The Rods Of The Five Wizards!,The Return of the King
78,GANDALF,Your Treachery Has Already Cost Many Lives. Thousands More Are Now At Risk. But You Could Save Them Saruman. You Were Deep In The Enemy's Counsel.,The Return of the King
79,FRODO,I'm Sorry Uncle. I'm Afraid I Lost It.,The Return of the King
80,BILBO,"Oh, Pity. (he Sighs.) I Would Have Like To Have Held It One Last Time.",The Return of the King
81,BILBO,Oh! Well Here Is A Sight I Have Never Seen Before.,The Return of the King
82,GALADRIL,The Power Of The Three Rings Is Ended. The Time Has Come For The Dominion Of Men.,The Return of the King
83,ELROND,I Aear C'n Ven Na Mar.,The Return of the King
84,BILBO,I Think I'm Quite Ready For Another Adventure.,The Return of the King
85,GANDALF,"Farewell My Brave Hobbits. , My Work Is Now Finished. ,here At Last, On The Shores Of The Sea, Comes The End Of Our Fellowship. , I Will Not Say Do Not Weep For Not All Tears Are An Evil. , It Is Time Frodo.",The Return of the King
86,SAM,What Does He Mean?,The Return of the King
87,FRODO,"We Set Out To Save The Shire Sam And It Has Been Saved, But Not For Me.",The Return of the King
88,SAM,You Don't Mean That. You Can't Leave.,The Return of the King
89,FRODO,The Last Pages Are For You Sam.,The Return of the King
90,SARUMAN,"So You Have Come Here For Information. I Have Some For You. ,something Festers In The Heart Of Middle Earth. Something That You Have Failed To See. But The Great Eye Has Seen It! Even Now He Presses His Advantage. His Attack Will Come Soon. , You Are All Going To Die! But You Know This Don't You Gandalf? You Cannot Think That This Ranger Will Ever Sit Upon The Throne Of Gondor. This Exile, Crept From The Shadows Will Never Be Crowned King. ,gandalf Does Not Hesitate To Sacrifice Those Who Are Closest To Him' Those He Professes To Love! Tell Me, What Words Of Comfort Did You Give The Halfling Before You Sent Him To His Doom? The Path That You Have Set Him On Can Only Lead To Death.",The Return of the King
91,GIMLI,I've Heard Enough! Shoot Him! Stick An Arrow In His Gob!,The Return of the King
92,GANDALF,No! Come Down Saruman And Your Life Will Be Spared!,The Return of the King
93,SARUMAN,Save Your Pity And Your Mercy. I Have No Use For It!,The Return of the King
94,GANDALF,Saruman'.. Your Staff Is Broken!,The Return of the King
95,THEODEN,Grima! You Need Not Follow Him! You Were Not Always As You Are Now. You Were Once A Man Of Rohan. Come Down.,The Return of the King
96,SARUMAN,A Man Of Rohan? What Is The House Of Rohan But A Thatched Barn Where Brigands Drink In The Reek And Their Brats Roll On The Floor With The Dogs? The Victory At Helms Deep Does Not Belong To You Theoden Horse Master. You Are A Lesser Son Of Greater Sires!,The Return of the King
97,THEODEN,Grima'. Come Down! Be Free Of Him!,The Return of the King
98,SARUMAN,Free? He Will Never Be Free!,The Return of the King
99,GRIMA,No!,The Return of the King
100,FRODO VOICE OVER,"My Dear Sam, You Cannot Always Be Torn In Two. , You Will Have To Be One And Whole For Many Years. You Have So Much To Enjoy And To Be And To Do. Your Part In The Story Will Go On.",The Return of the King
101,SAM,"Well, I'm Back.",The Return of the King
102,PIPPIN,I Didn't Think It Would End This Way.,The Return of the King
103,GANDALF,"End? No, The Journey Doesn't End Here. Death Is Just Another Path, One That We All Must Take. , The Grey Rain Curtain Of This World Rolls Back And All Turns To Silvered Glass. And Then You See It.",The Return of the King
104,PIPPIN,What? Gandalf? See What?,The Return of the King
105,GANDALF,"White Shores And Beyond, A Far Green Country Under A Swift Sunrise.",The Return of the King
106,PIPPIN,"Well, , That's Not So Bad.",The Return of the King
107,GANDALF,No. No It Isn't.,The Return of the King
108,THEODEN,Rally To Me! To Meeee!,The Return of the King
109,WITCH KING,Feast On His Flesh.,The Return of the King
110,EOWYN,I Will Kill You If You Touch Him.,The Return of the King
111,EOWYN,The City Has Fallen Silent. There Is No Warmth Left In The Sun.,The Return of the King
112,EOWYN,It Grows So Cold.,The Return of the King
113,FARAMIR,It's Just The Damp Of The First Spring Rain.,The Return of the King
114,FARAMIR,I Do Not Believe This Darkness Will Endure.,The Return of the King
115,SAM,"Look! The Orcs, They're Moving Off!",The Return of the King
116,SARUMAN,Get Down Cur!,The Return of the King
117,GRIMA,Ah!,The Return of the King
118,GANDALF,Saruman! You Were Deep In The Enemy's Counsel. Tell Us What You Know!,The Return of the King
119,SARUMAN,You Withdraw Your Guard And I Will Tell You Where Your Doom Will Be Decided. I Will Not Be Held Prisoner Here!,The Return of the King
120,GANDALF,Send Word To All Our Allies And To Every Corner Of Middle Earth That Still Stands Free. The Enemy Moves Against Us. We Need To Know Where He Will Strike.,The Return of the King
121,TREEBEARD,"The Filth Of Saruman Is Washing Away. Trees Will Come Back To Live Here. ,young Trees. Wild Trees.",The Return of the King
122,ARAGORN,Pippin!,The Return of the King
123,TREEBEARD,Bless My Bark!,The Return of the King
124,GANDALF,Peregrin Took. I'll Take That My Lad! Quickly Now!,The Return of the King
125,WITCH KING,Do Not Come Between The Nazg'l And His Prey.,The Return of the King
126,ORC,"Late As Usual, Pirate Scum. , There's Knifework Here Needs Doing. Come On You Sea Rats, Get Off Your Ships.",The Return of the King
127,GIMLI,"There's Plenty For The Both Of Us, May Be Best Dwarf Win!",The Return of the King
128,WITCH KING,You Fool! No Man Can Kill Me. Die Now!,The Return of the King
129,EOWYN,I Am No Man!,The Return of the King
130,SAM,You See Mr Frodo Some Luck At Last!,The Return of the King
131,ORC,"Move It, You Slugs!",The Return of the King
132,ORC,Come On! Faster!,The Return of the King
133,ORC,"Come Along You Scum! , I'll Whip You Down To The Bone! Come On! What Have I Told You. , Get Up! , Come On You Slugs! You Two Are Going Straight To The Front Line! Move It, Come On! Fall In! Move It! Move It! Move It!",The Return of the King
134,ORC,"To The Gate You Slugs, Now Move It! , Don't You Know We're At War?",The Return of the King
135,ORC,Company Halt! Inspection!,The Return of the King
136,FRODO,Sam! Help Me!,The Return of the King
137,SAM,Mr Frodo!,The Return of the King
138,SAM,Stand Up Mr Frodo. Stand Up!,The Return of the King
139,FRODO,It's So Heavy!,The Return of the King
140,SAM,"Oh No! What Do I Do? , What Do I Do?",The Return of the King
141,FRODO,Hit Me! Hit Me Sam! Start Fighting!,The Return of the King
142,SAM,"Get Off Of Me! , Nobody Pushes Me You Filthy Maggot! , Get Off Of Me!",The Return of the King
143, GANDALF,Retreat! The City Is Breached. Fall Back To The Second Level. Get The Women And Children Out. Get Them Out. Retreat.,The Return of the King
144,SOLDIERS ON GATE,"Come On, Come On!",The Return of the King
145,GOTHMOG,Move Into The City. Kill All In Your Path.,The Return of the King
146,ORC,Break It Up! Break It Up!,The Return of the King
147,GENERAL,Oy! I'll Have Your Guts If You Don't Shut This Rabble Down!,The Return of the King
148,FRODO,Go Sam. Now!,The Return of the King
149,GENERAL,Move Along Scum!,The Return of the King
150,CAPTAIN,Get Back In The Line You Maggots! Get Back In The Line You Slugs!,The Return of the King
151,FRODO,I Can't! I Can't' I Can't Manage The Ring Sam. It's' It's' Such A Weight To Carry. It's Such A Weight.,The Return of the King
152,SOLDIER,Take Them Down!,The Return of the King
153,GANDALF,Fight! Fight To The Last Man. Fight For Your Lives.,The Return of the King
154,PIPPIN,"Gandalf! , Gandalf! Denethor Has Lost His Mind. He's Burning Faramir Alive!",The Return of the King
155,GANDALF,Up! Quickly!,The Return of the King
156,GANDALF,Go Back To The Abyss! Fall Into The Nothingness That Awaits You And Your Master!,The Return of the King
157,WITCH KING,"Do You Not Know Death When You See It, Old Man? , This Is My Hour!",The Return of the King
158,PIPPIN,Gandalf!,The Return of the King
159,PIPPIN,"Aaaahhh! ,",The Return of the King
160,WITCH KING,You Have Failed! The World Of Men Will Fall.,The Return of the King
161,SAM,"We're Going That Way, Straight As We Can. There's No Point Carrying Anything We're Not Sure To Need.",The Return of the King
162,SAM,"Mr Frodo, Look. , There Is Light And Beauty Up There That No Shadow Can Touch.",The Return of the King
163,SAM,"Take Mine. , There's A Few Drops Left.",The Return of the King
164,FRODO,There Will Be None Left For The Return Journey.,The Return of the King
165,SAM,I Don't Think There Will Be A Return Journey Mr Frodo.,The Return of the King
166,SAM,"Frodo, Get Down! , Hide!",The Return of the King
167,SAM,Frodo!,The Return of the King
168,PIPPIN,Where Are They?,The Return of the King
169,ARAGORN,"Let The Lord Of The Black Land Come Forth! , Let Justice Be Done Upon Him!",The Return of the King
170,MOUTH OF SAURON,My Master Sauron The Great Bids Thee Welcome.,The Return of the King
171,MOUTH OF SAURON,Is There Any In This Rout With Authority To Treat With Me?,The Return of the King
172,GANDALF,"We Do Not Come To Treat With Sauron, Faithless And Accursed. Tell Your Master This. The Armies Of Mordor Must Disband. He Is To Depart These Lands, Never To Return.",The Return of the King
173,EOWYN,Courage Merry. Courage For Our Friends.,The Return of the King
174,GOTHMOG,"Form Ranks You Maggots. Form Ranks. Pikes In Front, Archers Behind.",The Return of the King
175,THEODEN,"Eomer, Take Your Eored Down The Left Flank",The Return of the King
176,EOMER,Flank Ready!,The Return of the King
177,THEODEN,"Gamling, Follow The King's Banner Down The Centre. Grimbold! Take Your Company Right After You Pass The Wall. Forth And Fear No Darkness! , Arise! Arise Riders Of Theoden. Spears Shall Be Shaken, Shields Shall Be Splintered, A Sword Day, A Red Day Ere The Sun Rises!!",The Return of the King
178,EOWYN,"Whatever Happens, Stay With Me. I'll Look After You.",The Return of the King
179,THEODEN,"Ride Now, Ride Now! Ride! Ride For Ruin And The World's Ending! Death!",The Return of the King
180,ARMY,Death!,The Return of the King
181,THEODEN,Death!,The Return of the King
182,ARMY,Death!,The Return of the King
183,THEODEN,Death!,The Return of the King
184,THEODEN,Death!,The Return of the King
185,MOUTH OF SAURON,Aha! Old Greybeard! I Have A Token I Was Bidden To Show Thee.,The Return of the King
186,PIPPIN,Frodo!,The Return of the King
187,PIPPIN,Frodo!,The Return of the King
188,GANDALF,Silence!,The Return of the King
189,MERRY,No!,The Return of the King
190,GANDALF,Silence!,The Return of the King
191,MOUTH OF SAURON,"The Halfling Was Dear To Thee I See. Know That He Suffered Greatly At The Hands Of His Host. Who Would've Thought One So Small Could Endure So Much Pain? And He Did Gandalf, He Did.",The Return of the King
192,ARAGORN,You May Go No Further.,The Return of the King
193,ARAGORN,You Will Not Enter Gondor,The Return of the King
194,BOSON,Who Are You To Deny Us Passage?,The Return of the King
195,ARAGORN,"Legolas, Fire A Warning Shot Past The Boson's Ear.",The Return of the King
196,GIMLI,Mind Your Aim.,The Return of the King
197,GIMLI,"Oh! , That's It, Right, We Warned You! Prepare To Be Boarded!",The Return of the King
198,MERCENARY,"Boarded, By You And Whose Army?",The Return of the King
199,EOWYN/MERRY,Death!,The Return of the King
200,THEODEN,Forth Eorlingas!,The Return of the King
201,GOTHMOG,Fire!,The Return of the King
202,MERRY,Deeeeaaath!,The Return of the King
203,THEODEN,Chaaaaarge!,The Return of the King
204,GOTHMOG,Fire At Will!,The Return of the King
205,DENETHOR,Set A Fire In Our Flesh!,The Return of the King
206,GANDALF,Stay This Madness!,The Return of the King
207,DENETHOR,"You May Triumph In The Field Of Battle For A Day, But Against The Power That Has Risen In The East, There Is No Victory!",The Return of the King
208,DENETHOR,"Noooooo, You Will Not Take My Son From Me!",The Return of the King
209,PIPPIN,No! Aaahhh,The Return of the King
210,DENETHOR,Faramir!,The Return of the King
211,DENETHOR,Aaaaaahhhh!,The Return of the King
212,GANDALF,"So Passes Denethor, Son Of Ecthelion.",The Return of the King
213,MOUTH OF SAURON,And Who Is This? Isildur's Heir? It Takes More To Make A King Than A Broken Elvish Blade.,The Return of the King
214,GIMLI,I Guess That Concludes Negotiations.,The Return of the King
215,ARAGORN,I Do Not Believe It. I Will Not.,The Return of the King
216,ARAGORN,This Army.,The Return of the King
217,GOLLUM,In There.,The Return of the King
218,FRODO,What Is This Place?,The Return of the King
219,GOLLUM,Master Must Go Inside The Tunnel.,The Return of the King
220,FRODO,Now That I'm Here I Don't Think I Want To.,The Return of the King
221,GOLLUM,It's The Only Way. Go In' Or Go Back.,The Return of the King
222,FRODO,I Can't Go Back.,The Return of the King
223,FRODO,What's That Smell.,The Return of the King
224,GOLLUM,Orcses' Filth. Orcses Come In Here Sometimes.,The Return of the King
225,GOLLUM,Hurry! This Way.,The Return of the King
226,FRODO,Smeagol?,The Return of the King
227,GOLLUM,Over Here.,The Return of the King
228,FRODO,"Ah Aah! Its Sticky, What Is It?",The Return of the King
229,GOLLUM,"You'll See. Oh Yes, You Will See.",The Return of the King
230,EOMER,"Drive Them To The River. ,",The Return of the King
231,THEODEN,"Make Safe The City.,",The Return of the King
232,THEODEN,"Re-form The Line! Re-form The Line!,",The Return of the King
233,THEODEN,"Sound The Charge. Take Them Head-on. Chaaarge! ,",The Return of the King
234,ROHIRRIM,"Cut Him Down! ,",The Return of the King
235,EOWYN,"Take The Reins, Pull Him Left. , Left! ,",The Return of the King
236,EOMER,"Aim For The Heads! ,",The Return of the King
237,THEODEN,"Bring It Down! Bring It Down! Bring It Down!,",The Return of the King
238,EOWYN,"Merry! ,",The Return of the King
239,FRODO,Smeagol? (shouts) Smeagol! Smeagol!,The Return of the King
240,FRODO,Sam.,The Return of the King
241,SAM,Ow!,The Return of the King
242,GALADRIEL VOICEOVER,"And You Frodo Baggins, I Give You The Light Of E'rendil, Our Most Beloved Star. , May It Be A Light For You In Dark Places, When All Other Lights Go Out.",The Return of the King
243,FRODO,Aiya E'rendil Elenion Ancalim',The Return of the King
244,GOLLUM,"Naughty Little Fly. Why Does He Cry? ,caught In A Web. Soon You'll Be Eaten.",The Return of the King
245,GOLLUM,Got Away Did It Precious? Not This Time. Not This Time.,The Return of the King
246,FRODO,No!,The Return of the King
247,SMEAGOL,"It Wasn't Us. It Wasn't Us. ,smeagol Wouldn't Hurt Master. We Promised. You Must Believe Us. It Was The Precious. The Precious Made Us Do It.",The Return of the King
248,FRODO,"I Have To Destroy It Smeagol. , I Have To Destroy It For Both Our Sakes.",The Return of the King
249,GOLLUM,"No! , Aaaaaaaaa.",The Return of the King
250,FRODO,I'm So Sorry Sam. I'm So Sorry.,The Return of the King
251,GIMLI,What Kind Of Army Would Linger In Such A Place?,The Return of the King
252,LEGOLAS,"One That Is Cursed. Long Ago The Men Of The Mountains Swore An Oath To The Last King Of Gondor , To Come To His Aid, To Fight. But When The Time Came, When Gondor's Need Was Dire, They Fled Vanishing Into The Darkness Of The Mountain. And So Isildur Cursed Them, Never To Rest Until They Had Fulfilled Their Pledge. Who Shall Call Them From The Grey Twilight, The Forgotten People? The Heir Of Him To Whom The Oath They Swore. From The North Shall He Come, Need Shall Drive Him. He Shall Pass The Door To The Paths Of The Dead.",The Return of the King
253,GIMLI,The Very Warmth Of My Blood Seems Stolen Away.,The Return of the King
254,LEGOLAS,"The Way Is Shut. It Was Made By Those Who Are Dead , And The Dead Keep It. The Way Is Shut.",The Return of the King
255,ARAGORN,Brego!,The Return of the King
256,ARAGORN,I Do Not Fear Death!,The Return of the King
257,GALADRIEL,"This Task Was Appointed To You, Frodo Of The Shire. If You Do Not Find A Way, No One Will.",The Return of the King
258,EOMER,"The Scouts Report Minas Tirith Is Surrounded. The Lower Level's In Flames. Everywhere, Legions Of The Enemy Advance.",The Return of the King
259,THEODEN,Time Is Against Us. Make Ready!,The Return of the King
260,EOWYN,"Take Heart Merry. , It Will Soon Be Over",The Return of the King
261,MERRY,"My Lady. You Are Fair And Brave And Have Much To Live For , And Many Who Love You. I Know It Is Too Late To Turn Aside. I Know There Is Not Much Point Now In Hoping. If I Were A Knight Of Rohan Capable Of Great Deeds'but I'm Not. I'm A Hobbit. And I Know I Can't Save Middle Earth. I Just Want To Help My Friends; Frodo, Sam, Pippin. More Than Anything I Wish I Could See Them Again.",The Return of the King
262,EOMER,Prepare To Move Out!,The Return of the King
263,THEODEN,Make Haste. We Ride Through The Night.,The Return of the King
264,EOWYN,To Battle,The Return of the King
265,MERRY,To Battle,The Return of the King
266,GANDALF,Back To The Gate! Hurry!,The Return of the King
267,GIMLI,"Well This Is A Thing Unheard Of. An Elf Will Go Underground, Where A Dwarf Dare Not. Oh. Oh, I'd Never Hear The End Of It.",The Return of the King
268,THEODEN,We Must Ride Light And Swift. It Is A Long Road Ahead And Man And Beast Must Reach The End With The Strength To Fight.,The Return of the King
269,THEODEN,Little Hobbits Do Not Belong In War Master Meriadoc.,The Return of the King
270,MERRY,All My Friends Have Gone To Battle. I Would Be Ashamed To Be Left Behind.,The Return of the King
271,THEODEN,It Is A Three-day Gallop To Minas Tirith And None Of My Riders Can Bear You As A Burdon.,The Return of the King
272,MERRY,I Want To Fight!,The Return of the King
273,THEODEN,I Will Say No More.,The Return of the King
274,EOWYN,Ride With Me!,The Return of the King
275,MERRY,My Lady!,The Return of the King
276,EOMER,"Form Up, Move Out! Form Up, Move Out!",The Return of the King
277,THEODEN,Ride! Ride Now To Gondor.,The Return of the King
278,GIMLI,What Is It? What Do You See?,The Return of the King
279,LEGOLAS,I See Shapes Of Men And Of Horses.,The Return of the King
280,GIMLI,Where?,The Return of the King
281,LEGOLAS,"Pale Banners Like Shreds Of Cloud. , Spears Rise Like Winter Thickets Through A Shroud Of Mist. The Dead Are Following. They Have Been Summoned.",The Return of the King
282,GIMLI,"The Dead? Summoned? I Knew That! Huh. Huh. , Very Good. Very Good. , Legolas!",The Return of the King
283,ARAGORN,Do Not Look Down.,The Return of the King
284,KING OF THE DEAD,Who Enters My Domain?,The Return of the King
285,ARAGORN,One Who Will Have Your Allegiance.,The Return of the King
286,KING OF THE DEAD,The Dead Do Not Suffer The Living To Pass.,The Return of the King
287,ARAGORN,You Will Suffer Me!,The Return of the King
288,KING OF THE DEAD,The Way Is Shut! It Was Made By Those Who Are Dead. And The Dead Keep It. (the Ghostly Army Closes Around Them) The Way Is Shut! Now You Must Die!,The Return of the King
289,ARAGORN,I Summon You To Fulfil Your Oath!,The Return of the King
290,KING OF THE DEAD,None But The King Of Gondor May Command Me!,The Return of the King
291,SOLDIER,"Make Way For The King!  Make Way, The King Is Here",The Return of the King
292,SOLDIER,My Lord!,The Return of the King
293,SOLDIER,Hail To You Sire!,The Return of the King
294,GRIMBOLD,I Bring 500 Men From The Westfold My Lord.,The Return of the King
295,SOLDIER,"We Have 300 More From Fenmarch, Theoden King.",The Return of the King
296,KING OF THE DEAD,That Blade Was Broken!,The Return of the King
297,ARAGORN,"It Has Been Remade. , Fight For Us And Regain Your Honour. What Say You? ,what Say You?",The Return of the King
298,GIMLI,Ach! You Waste Your Time Aragorn. They Had No Honour In Life And They Have None Now In Death.,The Return of the King
299,ARAGORN,"I Am Isildur's Heir. Fight For Me And I Will Hold Your Oaths Fulfilled. ,what Say You?",The Return of the King
300,ARAGORN,"You Have My Word! Fight And I Will Release You From This Living Death! , What Say You?",The Return of the King
301,GIMLI,Stand You Traitors!,The Return of the King
302,ARAGORN,Out!,The Return of the King
303,ARAGORN,Legolas! Run!,The Return of the King
304,KING OF THE DEAD,We Fight!,The Return of the King
305,SOLDIER,"Open The Gate, Quick!",The Return of the King
306,IROLAS,Quick! Hurry!,The Return of the King
307,DENETHOR,Faramir! Say Not That He Has Fallen.,The Return of the King
308,IROLAS,They Were Outnumbered! None Survived.,The Return of the King
309,GOTHMOG,Fear. The City Is Rank With It! Ha Ha Ha Ha. Let Us Ease Their Pain. Release The Prisoners!,The Return of the King
310,THEODEN,Where Are The Riders From Snowbourn?,The Return of the King
311,SOLDIER,None Have Come My Lord.,The Return of the King
312,THEODEN,"Six Thousand Spears, Less Than Half Of What I Had Hoped For.",The Return of the King
313,ARAGORN,Six Thousand Will Not Be Enough To Break The Lines Of Mordor.,The Return of the King
314,THEODEN,More Will Come,The Return of the King
315,ARAGORN,"Every Hour Lost Hastens Gondor's Defeat.  ,  We Have Until Dawn Then We Must Ride.",The Return of the King
316,LEGOLAS,The Horses Are Restless And The Men Are Quiet.,The Return of the King
317,EOMER,They Grow Nervous In The Shadow Of The Mountain.,The Return of the King
318,GIMLI,That Road There Where Does That Lead?,The Return of the King
319,LEGOLAS,"It Is The Road To The Dimholt, The Door Under The Mountain.",The Return of the King
320,ORC,"Catapults! , Ha Ha Ha.",The Return of the King
321,DENETHOR,"My Sons Are Spent! , My Line Has Ended!",The Return of the King
322,PIPPIN,He's Alive!,The Return of the King
323,DENETHOR,The House Of Stewards Has Failed.,The Return of the King
324,PIPPIN,He Needs Medicine My Lord!,The Return of the King
325,DENETHOR,My Line Has Ended!,The Return of the King
326,PIPPIN,My Lord!,The Return of the King
327,DENETHOR,Rohan Has Deserted Us!,The Return of the King
328,DENETHOR,"Theoden's Betrayed Me! Abandon Your Posts! ,flee! Flee For Your Lives!",The Return of the King
329,GANDALF,Prepare For Battle. Hurry Men! To The Wall! Defend The Wall! Over Here! Return To Your Posts.,The Return of the King
330,GANDALF,Send These Foul Beasts Into The Abyss.,The Return of the King
331,GOTHMOG,Stay Where You Are!,The Return of the King
332,SOLDIER,We Need More Rubble!,The Return of the King
333,EOMER,None Who Venture There Ever Return.  That Mountain Is Evil.,The Return of the King
334,GIMLI,"Aragorn!  ,  Let's Find Some Food.",The Return of the King
335,EOWYN,There.  A True Esquire Of Rohan.,The Return of the King
